Series,N,NF,Category,Starting Year,Starting Quarter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
102,44,8,MICRO       ,1984,1,3142.63,3190.75,3178.69,3170.94,3124.38,3170,3200.94,3176.75,3170.44,3268.67,3198.25,3383.35,3389.78,3368.6,3383.7,4950.95,5086.1,5203.95,5302.75,5268.75,5406.85,5472.5,5656.4,5770.3,5677.2,5725.85,5742,5706.6,5591.95,5605.15,5630,5589.2,5551.25,5592.15,5481.6,5511.55,5531.5,5670.6,5730,5798.45,5809.05,5707.05,5661.75,6176.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,44,8,MICRO       ,1984,1,1522,1537.8,1602.6,1697,1718.8,1746.6,1787.2,1849.2,2032.6,2084.8,2163,2213.6,2298.2,2314.2,2440.8,2513.2,2492.6,2569.4,2573.6,2521.6,2598.6,2579.4,2580.8,2655.6,2758.2,2778.8,2801.6,2918.2,3014.6,3039.8,3223.6,3156.8,3342.2,3404.4,3638.4,3629.4,3799.2,3972.6,4078.2,4090,4240.2,4320.8,4268.4,4292.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,46,8,MICRO       ,1983,3,1549.72,1615.08,1620.33,1634.41,1675.18,1675.56,1758.63,1813.42,1781.78,1777.58,1861.23,1892.73,1855.28,2476.07,2557.42,2671.19,2676.97,2701.72,2804.13,2874.18,2888.41,2908.03,3045.86,3241.99,3329.31,3276.79,3516.1,3613.5,3619.21,3663.33,3891.86,4205.34,4235.5,4541.31,4863.54,5080.75,5326.9,5383.65,5405.5,5935.5,5864.65,5800.1,5853.55,5948,5970,5692,,,,,,,,,,,,,,,,,,,,,,,,,,
105,44,8,MICRO       ,1984,1,2182.6,2189.8,2136.7,2155.6,2141.8,2267.34,2308.44,2428.4,2443.7,2519.86,2585,2580.4,2593.5,2730.16,2772.74,2890.2,4181.36,4341.4,4391.8,4592.8,4651.6,4671.4,4737.4,4730.4,4604.6,4663.8,4767.6,4825,4808,4840,4958,4834,4904.6,5014,5023.2,4068.2,4713,4201,4085.8,4065,3940.2,3686.8,3816.6,2993.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,44,8,MICRO       ,1984,1,875.51,917.23,999.89,1014.7,1010.2,1065.72,1090.13,1075.93,1095.09,1083.43,1053.22,1040.04,1037.43,1065.84,1086.51,1249.39,1238.08,1406.19,1698.22,1774.87,1775.79,1861.52,1874.01,1996.99,2039.72,2318.26,2558.82,2688.16,2735.26,2911.08,3032.97,3146.05,3252.58,3441.94,3671.11,4044.29,4536.47,4729.85,5230.25,5672,5963,6143,6636,6908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,44,8,MICRO       ,1984,1,6143.7,6084.3,6009.4,5664.5,6087.9,5781.2,5674.6,4120.4,5971.7,5664.1,5465.7,1908.5,5560.5,5635.9,5443.4,5539,5695.1,5585.4,5556.1,5531.7,5691.9,5756.8,5586.9,5685.3,5777.6,5626.6,5682.1,6045,5998.1,5644.9,5617,5687.5,6026.6,5488,5854.4,5887.5,6216.3,6798.6,5744.1,6151.5,6159,6008.9,5912,5911.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,44,8,MICRO       ,1984,1,1821.6,2266.4,2309.4,2069,1595.9,3007.7,3240.4,2276.2,1870.3,3413.6,3886.7,2621.1,755.5,1882.8,3557.3,2368.3,1515,3159,4372.5,3365.6,3650.7,3699.4,4320.2,2719.8,2423.6,4336.7,4317.4,1573.5,1203.1,3141.8,3741.7,3225.5,3581.6,4808.1,5402.5,5428.7,5210.2,7082.5,8010.9,7058.6,7432.3,9233.6,9491.7,5680,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,45,8,MICRO       ,1983,4,1676.8,1027.2,1322.2,1358.8,1643.6,1340.8,1438.4,1533.6,1728,1760,1794.6,1716.4,2330.4,1876.2,2014.8,2169.4,2707.8,1978,1712,2796.2,3209.2,2740.4,2825.8,3346.2,3658.2,3990,4413.4,2808.2,4411.8,3927,4106.8,4991.4,4567.4,4204,4371.2,1804.2,4538.6,4471.2,4666,4654.4,4995,4945.2,4911.2,2606.4,8999.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,44,8,MICRO       ,1984,1,3222.9,3014.4,3101.7,3031.5,3874.8,3778.2,3606.3,3915.9,4790.4,5016.6,3508.2,2073.3,3922.5,3702.9,3267.9,1322.7,4228.5,3509.1,2830.8,3172.2,4305.6,3672.6,3395.1,3248.1,7503,3903.3,3344.1,3272.1,5465.7,4272.6,3382.5,3481.5,4753.2,4485.3,3622.5,3812.7,5322.6,4702.2,4512.6,4545.6,6062.1,5540.7,5011.8,4716.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,46,8,MICRO       ,1983,3,5020,5100,3560,5180,5260,3220,5840,4120,4000,4760,2240,4340,4540,4260,3020,5200,6600,5680,6320,4720,7080,4760,5520,6000,6000,4260,4180,6480,4680,4440,3240,3560,4680,2620,3020,5720,5740,5400,4480,4700,4560,2320,3960,2100,6300,4860,,,,,,,,,,,,,,,,,,,,,,,,,,
112,44,8,MICRO       ,1984,1,2363,1644,1364,1719,2570,1663,1390,1504,2141,1799,1819,1802,2708,1980,2000,3428,2769,2076,1965,2092,2687,2017,1734,2135,2823,2112,2027,2124,2927,2228,2139,2414,2830,2157,2204,2018,2791,5001,2267,2412,3512,2568,2774,2227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,44,8,MICRO       ,1984,1,5379.6,5044.3,4070.7,4160.2,6378.9,6852.4,6203.7,6634.6,757.8,2000,3729,5363.4,11851.2,4183.5,3636.1,2842.7,5634.5,5370.2,5593.2,5834.5,5990.2,6704.4,5298.5,5597.1,5839.3,6860,8055.7,8278.5,6933.1,7438.5,7929.4,7226.4,7139.4,8048.4,7982,6043.5,6825.1,7758.2,6760.8,3971.6,6185.1,6276.4,7777.6,6852.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,43,8,MICRO       ,1984,2,4512.4,4590.4,4992.4,5116.2,4972.4,4985.2,5390.6,3734,4824,4963.6,1821.4,3242.6,7296.4,4487.4,4720.4,4606.4,4905.8,5211,5120.8,2740.2,5323.2,5184.4,5002.8,5240,5540.4,5600.6,5595.2,5472.6,5879.4,5832,5822,4067,5958.2,5809.6,5714.4,5670.6,6454.2,6029.8,5788.2,5708.8,5787.4,5693.2,5510.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,43,8,MICRO       ,1984,1,1272,1653,1569,1464,1755,1734,2100,1578,1329,1440,1365,2007,1551,1710,2211,1434,1980,2280,2049,1386,2355,2016,2235,7479,2475,2388,2148,1581,2343,2343,1938,2199,2205,2349,2148,1767,2415,2169,2541,2178,2568,2358,2997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,45,8,MICRO       ,1983,4,5931.3,6114.9,5600.7,5224.3,6041.2,6462.9,5791.7,5663.1,6373.7,6839.9,5769.4,5349.9,6146.2,6361.9,5443.6,5303.1,6565.5,6551.2,5692.8,5341.8,6764,7093.6,5561.4,5623,6835.5,6921.7,6110.4,4990.3,7358.6,7386.3,6136.2,5526.6,7096.7,6939.7,5568.5,5373.6,7417.8,7589.1,5865.6,5419.6,6661.8,6327.6,973.3,4773.8,7399.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,44,8,MICRO       ,1984,1,2972.5,2357.9,1580.8,2065.7,4026.4,2895.9,1440,2669.8,4028.1,2097.6,1305.7,2202.1,3408.9,2061.1,1609.4,3452.2,3987.1,2765.6,2157,3439.4,3741.9,2537,1817.3,3240.6,3826.8,3141.1,2092.6,2884.6,3875.9,3231.8,1925.9,3229.8,3859.9,2883.1,2182.9,3627,5002.4,3053.1,2241.2,3816.3,4124.8,3063.3,2314.4,4165.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,59,8,INDUSTRY    ,1979,1,5396.86,4963.38,5445.73,5038.03,5412.13,4965.15,5706.96,5176.7,5426.78,5083.14,5852.19,5144.63,5454.9,4958.98,5538.78,5044.74,5252.57,4945.69,6064.6,5335.02,5830.26,5391.33,6111.81,5472.44,5869.92,5423.01,6173.75,5592.14,5896.64,5505.83,6383.46,5761.51,5960.74,5772.04,6743.55,5878.49,6385.87,5900.06,7065.42,6147.75,6487.65,6119.33,7087.73,6422.35,6573.97,6301.82,7366.24,6444.26,6619.34,6528.77,7530.53,6602.35,6750.31,6411.28,7390,6714.01,6894.95,6519.28,7745.22,,,,,,,,,,,,,
119,59,8,INDUSTRY    ,1979,1,6173.25,5891.5,6704.15,5967.25,6356.05,6135.7,7315.8,6398.55,6284.6,6175.85,7330.5,6293.95,6405.15,6112.9,7067.6,6262.25,6437.05,6318.2,7850.75,6674.05,7012.85,6814.35,8070.45,7006.5,7246.35,7213.55,8404.85,7428.5,7455.35,7517.45,8790.15,7685.3,7717.35,7946.4,9321.85,7936.65,8314.7,8219.35,9868.6,8356.35,8481.55,8540.1,10163.55,8780.15,8724.6,8818.6,10350.65,8896.9,8838.4,9224.25,10559.3,9106.1,8985.9,9102.15,10440.35,9272.3,9203.3,9260.6,10976.5,,,,,,,,,,,,,
120,71,8,INDUSTRY    ,1976,1,1586,1797.5,1978.5,1771,1819,2013,2228.5,2076.5,2113,2330,2615,2349,2458,2727.5,3201.5,3009,3186.5,3456.5,3850,3524,3586,3981,4107.5,3599.5,3512.5,3907.5,4166.5,3598.5,3562,4091,4548.5,4162,4230.5,4791.5,4964,4531.5,4505,5094,5262.5,4728,4588,4939,5424,4887,4970,5674,6174,5641,5687.5,6425,6798.5,6237,6384,6901.5,7115.5,6497,6759,7480,7827,7149,6436.5,7229,7830,7050,7293.5,7382,8013.5,7216.5,7518,8103,8621,
121,71,8,INDUSTRY    ,1976,1,1660,1885,1920,2025,1875,2035,2215,2470,2160,2465,2600,2710,2560,2675,2790,3030,2840,2995,3125,3200,2895,3230,3220,3330,2550,3030,3020,3130,2795,3060,3330,3815,3445,3520,3710,3700,3130,3230,3330,3725,6525,6880,7165,7550,7220,7905,8250,8755,8675,9170,9455,10085,10990,10690,6110,6720,6160,6500,6985,7520,6365,6580,7105,7490,6955,7280,7470,7890,7380,7700,8035,
122,71,8,INDUSTRY    ,1976,1,1460,1520,1480,2100,1580,1600,1540,3080,1780,1800,1720,2440,1880,2040,2300,3060,3000,3040,2920,3460,3180,3220,3260,3800,3420,3420,3280,4000,3240,3220,3060,3840,3420,3420,3280,3980,4380,4280,4220,4980,4140,3960,3840,4720,4220,4360,4420,5460,4880,4700,4480,5380,4740,4740,4500,5140,4620,4600,4560,5640,4580,4800,4340,5420,5640,5620,5580,6660,6480,5760,5600,
