Series,N,NF,Category,Starting Year,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1,20,6,MICRO       ,1975,1,940.66,1084.86,1244.98,1445.02,1683.17,2038.15,2342.52,2602.45,2927.87,3103.96,3360.27,3807.63,4387.88,4936.99,5379.75,6158.68,6876.58,7851.91,8407.84,9156.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,20,6,MICRO       ,1975,1,1991.05,2306.4,2604,2992.3,3722.08,5226.62,5989.46,5614.62,5527,5389.8,5384.4,3656.2,4034.8,4230,4793.2,5602,5065,5056,5067.2,5209.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,20,6,MICRO       ,1975,1,1472.96,1770.67,2223.8,2412.04,2766.68,3320.96,3946.5,4326.54,4656.44,4426,4055.8,4320.8,4534,4302.8,4452.2,4772.8,4898.4,4851.2,4778.8,4912.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,20,6,MICRO       ,1975,1,904.41,1482.33,1921.26,2667.57,3368.94,4205.67,5425.62,7447.14,6478.77,6156.09,6044.58,4547.64,6565.89,6352.59,6197.76,8351.82,8716.8,9638.82,9430.02,8999.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,20,6,MICRO       ,1975,1,4591.48,4939.08,4898.89,4933.19,5165.89,5206.79,5282.09,4611.29,4457.38,4387.3,4742.6,4660.88,4774.8,4448.5,4793.3,4382.1,4128.3,5070.7,5876.7,5782.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,20,6,MICRO       ,1975,1,1569.52,1731.24,1799.05,1981.95,2309.06,2679.19,2740.13,2662.98,2837.63,3409.36,3268.46,3533.65,3374.84,3610.24,4142.63,4784.77,4729.16,4559.7,4512.97,4294.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,20,6,MICRO       ,1975,1,1972.24,2180.48,2464.66,2856.1,3040.49,3339.52,3443.23,3471.99,3575.74,6815.37,6098.12,6025.66,6103.3,6699.88,7530.76,8351.41,8655.88,9381.43,9142.76,8963.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,20,6,MICRO       ,1975,1,3283.94,3633.13,3845.33,4153.08,4949,5657.66,6293.11,6228.86,6296.3,6327.8,6916,6948.4,7404.2,7429.3,8321.9,8770.7,8756,8503,8414.5,8786.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20,6,MICRO       ,1975,1,440.5,469.46,524.92,575.65,621.98,783.71,820.92,973.56,1283.39,2135.98,2524,3034.06,5770.06,5955.4,6145.56,5822.06,6043.04,6296.06,6752.52,7243.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,20,6,MICRO       ,1975,1,1076.9,1443,1941.58,2187.94,2535.48,3410.02,8854.3,9401.96,8169.84,7783.24,5592.72,5130.78,4122.38,4146.7,4308.62,4951.6,4842.88,4731,5177.76,5649.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,20,6,MICRO       ,1975,1,1338.08,1457.19,1601.07,1778.72,2004.8,2435.8,2326.8,2639.5,2836.2,3034.8,4448.1,4552.5,5031.8,6118.1,6548.6,6573,6207,4222,2635,2673,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,20,6,MICRO       ,1975,1,383.86,466.67,579.05,731,950,1168.5,1379,1735,2080.5,2576.5,2840,3143.5,4066.5,3748.5,5037.5,5697.5,5986.5,6850,8368,9783.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,20,6,MICRO       ,1975,1,733.81,793.42,859.86,1082.77,1218.32,1478,1737.4,2025.2,2553.6,3140.8,3610.4,3878,4216.6,4355.4,4692.2,5301.2,5465,5169.6,6558,6914.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,6,MICRO       ,1975,1,1666.24,1860.86,2029.65,2293.84,2705.6,3135.15,3449,3556,3797,4156,4252,4567,4949,5473,6246,6875,7174,7262,7500,7992,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,20,6,MICRO       ,1975,1,2107.82,2155.58,2263.79,2223.1,3283.49,4356.58,5629.3,7502.15,7605.1,6143.5,5814.7,6359.65,6930.5,7911.5,8203.5,9098.5,3828.5,3203.5,3001.5,3365,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,20,6,MICRO       ,1975,1,5097.6,5350.8,5960,6410.2,7317.8,7639.8,8121.4,7108.4,6899,7088.2,7108,6073.6,5919.6,5859,6929.8,7320,7506.6,6149,6322.6,6220.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,20,6,MICRO       ,1975,1,4603.1,4838.1,4748,4445,4865.19,5453.5,5633.89,5805.29,6348.39,7260.88,8642.5,9354.88,8961.2,8908.4,9371.6,9197.1,8942.5,8251.4,8047.6,8181.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,20,6,MICRO       ,1975,1,1274,1393.65,1580.44,1752.89,1930.12,2088.87,2278.9,2030.8,2200.3,2658,2423.7,2434.5,2363.3,3955.8,2652.4,2678.4,2487.4,2164.1,1845.2,1717.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,20,6,MICRO       ,1975,1,1093.3,1194.28,1394.76,1644.26,2016.95,2341.53,2615.78,2855.57,2957.14,3196.73,3155,3167.98,3247.5,3094.71,3110.79,3272.7,3715.08,3721.51,3928.03,3994,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,6,MICRO       ,1975,1,659.94,736.05,818.9,923.36,1087.64,1423.28,1669.6,2256.5,2345.9,2638.2,2836.8,4673.87,5021.4,4960.7,6223.4,6009.8,4951.3,4771,4512.2,4531.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,32,6,INDUSTRY    ,1961,1,5929.07,6332.38,6043.28,6127.9,6262.29,6416.96,5999.64,6424.27,5769.61,5623.18,5357.77,5265,4900.33,4529.55,4130.8,4225.07,4181.2,4189.48,3988.72,3863.11,3719.97,3591.07,3391.82,3031.74,2650.98,2409.32,2300.46,2351.41,2104.9,1845.68,1673.86,1678.03,,,,,,,,,,,,,,,
22,31,6,INDUSTRY    ,1961,1,5076.36,5327.82,5097.22,5166.54,5261.9,5376.81,4953.8,5265.8,4622.31,4518.16,4258.75,4176.04,3866.36,3551.47,3312.32,3454.33,3245.4,3146.95,3055.64,2983.62,2843.97,2852,2631.83,2309.99,1996.3,1756.56,1651.84,1625.07,1303.18,1163.1,1163.14,,,,,,,,,,,,,,,,
23,32,6,INDUSTRY    ,1961,1,3628.35,4149.95,3880.95,3945.3,4511.55,4691.15,4781,5271.85,5086.75,4809.05,4907.35,4913.6,4558.3,4275.1,3526.8,3244,3880.1,3967.65,3638.95,3645.55,3488.45,2702.05,2884.6,2970.75,2732.45,2796.3,2514.05,2759.05,2876.7,2235.9,2148.15,2166.45,,,,,,,,,,,,,,,
24,32,6,INDUSTRY    ,1961,1,3320.5,5051,4876.5,3474.5,3483.5,3634,3474.5,4165.5,4337.5,4477.5,4220,4363,4828,4945,3958.5,5032,7989,10426,10264.5,7519,8915.5,9933,9153.5,6380,5409.5,4675,7290.5,8726.5,6625,4766,4056.5,4080,,,,,,,,,,,,,,,
25,32,6,INDUSTRY    ,1961,1,6063,7355,7234,10281,2841,2924,2015,2079,4320,5366,3315,2053,2575,2416,3392,2130,2805,2669,3651,2698,3355,6396,5254,4595,2732,2971,3341,3410,3680,2677,2449,1889,,,,,,,,,,,,,,,
26,44,6,INDUSTRY    ,1947,1,5717,6374,5837.5,7318.4,4613,4611.4,5623.6,6058.7,6449.9,5711.2,5474.1,4922.7,5639.5,4867.4,4342,4701.9,4645.7,4892.3,5229.8,5544.4,4967,5912,6078.8,5683,5870.9,6508.9,6964.5,7190.5,6699.7,7307.3,7801.3,7646.5,7390,5861.5,6346.7,6606.1,6762.7,7507.4,7746.8,7435.6,7758.2,8582.8,8668.7,8390.3,,,
