"","Series Category","Season Frequency","Model Fitted","Series Used","Model MASE","Forecast MASE","Shapiro-Wilks","Ljung-Box","AIC","AICc","BIC","Non-Normal Std Residuals","Correlated Std Residuals"
"1","MICRO       ",12,"ETS(M,Md,N)","Seasonal Difference",0.536958946976914,0.839508683165146,0.501207453928542,0.36409702468094,1062.24075826475,1064.06684522127,1074.06250974606,0,0
"2","MICRO       ",12,"ETS(A,Ad,N)","Box-Cox",0.566748684937626,0.81685895008088,0.357455905735361,0.378083590335907,368.816482250984,370.264758113053,381.862805870358,0,0
"3","MICRO       ",12,"ETS(M,Md,N)","Seasonal Difference",0.539563963383346,1.99525683383532,0.291019853654126,0.870726009233566,1039.93224179417,1041.75832875069,1051.75399327548,0,0
"4","MICRO       ",12,"ETS(M,Ad,N)","1st Difference",0.512629714010893,0.458013167417634,0.429543249820624,0.121483577181972,1234.55707453369,1236.03075874422,1247.51037303385,0,0
"5","MICRO       ",12,"ETS(A,A,A)","Box-Cox",0.520237491541417,2.14356835244764,0.062286925391103,0.903564668333698,906.732946707407,919.754223303152,943.697530295633,0,0
"6","MICRO       ",12,"ETS(A,Ad,N)","Seasonal Difference",0.46752083553684,0.574368455235029,0.0523990794844258,0.0800719882746723,1010.97369685111,1012.79978380763,1022.79544833243,0,0
"7","MICRO       ",12,"ETS(A,Ad,N)","1st Difference",0.513069179475458,3.96073418630562,0.0667678949284871,0.0602134450219779,1213.67041832433,1215.1186941864,1226.7167419437,0,0
"8","MICRO       ",12,"ETS(M,Md,N)","Seasonal Difference",0.507914735030425,2.05758990368213,0.292669900392956,0.20330368940466,1019.56829109971,1021.35552514226,1031.50219537909,0,0
"9","MICRO       ",12,"Damped Holt-Winters' multiplicative method with exponential trend","Seasonal Difference",0.544717417082029,0.600903577373655,0.315203961655656,0.594148091439846,1102.9273997289,1122.47025687175,1138.72911256705,0,0
"10","MICRO       ",12,"ETS(M,Ad,N)","Seasonal Difference",0.5911280778738,5.6273885779609,0.0502524078137219,0.734565264786363,1036.77993912795,1038.5671731705,1048.71384340733,0,0
"11","MICRO       ",12,"ETS(M,Ad,A)","1st Difference",0.53323820676552,6.93505525360471,0.923817631616052,0.141795331433108,1289.69315664512,1304.56272186251,1328.83212750324,0,0
"12","MICRO       ",12,"ETS(A,Ad,A)","Seasonal Difference",0.575347012079941,2.59390065343535,0.832468445400224,0.971344581704736,1111.2656181198,1130.80847526266,1147.06733095796,0,0
"13","MICRO       ",12,"ETS(M,Md,M)","Seasonal Difference",0.503319096478071,0.610355745525685,0.0553587721409334,0.778166413336451,1093.64524339296,1113.18810053582,1129.44695623112,0,0
